"state","date","cases"
"KS",2021-09-08,9696
"KS",2021-09-15,10804
"KS",2021-09-22,8253
"KS",2021-09-29,6919
"KS",2021-10-06,6536
"KS",2021-10-13,5966
"KS",2021-10-20,5519
"KS",2021-10-27,5850
"KS",2021-11-03,5433
"KS",2021-11-10,6820
"KS",2021-11-17,7820
"KS",2021-11-24,8271
"KS",2021-12-01,8693
"KS",2021-12-08,12422
"KS",2021-12-15,11153
"KS",2021-12-22,12146
"KS",2021-12-29,14113
"KS",2022-01-05,30068
"KS",2022-01-12,31867
"KS",2022-01-19,79148
"KS",2022-01-26,49072
"KS",2022-02-02,28962
"KS",2022-02-09,10071
"KS",2022-02-16,11679
"KS",2022-02-23,3509
"KS",2022-03-02,2593
"KS",2022-03-09,1361
"KS",2022-03-16,821
"KS",2022-03-23,532
"KS",2022-03-30,492
"KS",2022-04-06,242
"KS",2022-04-13,948
"KS",2022-04-20,1274
"KS",2022-04-27,1408
"KS",2022-05-04,1585
"KS",2022-05-11,1877
"KS",2022-05-18,5466
"KS",2022-05-25,3133
"KS",2022-06-01,3217
"KS",2022-06-08,4666
"KS",2022-06-15,3985
"KS",2022-06-22,4103
"KS",2022-06-29,5072
"KS",2022-07-06,5390
"KS",2022-07-13,7394
"KS",2022-07-20,7641
"KS",2022-07-27,7510
"KS",2022-08-03,6715
"KS",2022-08-10,6579
"KS",2022-08-17,5421
"KS",2022-08-24,5095
"KS",2022-08-31,5737
"KS",2022-09-07,4547
"KS",2022-09-14,4002
"KS",2022-09-21,2812
"KS",2022-09-28,2593
"KS",2022-10-05,1644
"KS",2022-10-12,2947
"KS",2022-10-19,1912
"KS",2022-10-26,2123
"KS",2022-11-02,2385
"KS",2022-11-09,2725
"KS",2022-11-16,2582
"KS",2022-11-23,3070
"KS",2022-11-30,3588
"KS",2022-12-07,4252
"KS",2022-12-14,4128
"KS",2022-12-21,4217
"KS",2022-12-28,2709
"KS",2023-01-04,2842
"KS",2023-01-11,2335
"KS",2023-01-18,1938
"KS",2023-01-25,2151
"KS",2023-02-01,2162
"KS",2023-02-08,1963
"KS",2023-02-15,2057
"KS",2023-02-22,1975
"KS",2023-03-01,1942
"KS",2023-03-08,1747
"KS",2023-03-15,1368
"KS",2023-03-22,1289
"KS",2023-03-29,1219
"KS",2023-04-05,1006
"KS",2023-04-12,902
"KS",2023-04-19,728
"KS",2023-04-26,572
"KS",2023-05-03,485
"KS",2023-05-10,486
"KY",2020-01-22,0
"KY",2020-01-29,0
"KY",2020-02-05,0
"KY",2020-02-12,0
"KY",2020-02-19,0
"KY",2020-02-26,0
"KY",2020-03-04,0
"KY",2020-03-11,8
"KY",2020-03-18,20
"KY",2020-03-25,166
"KY",2020-04-01,427
"KY",2020-04-08,528
"KY",2020-04-15,1071
"KY",2020-04-22,1153
"KY",2020-04-29,1149
"KY",2020-05-06,1411
"KY",2020-05-13,918
"KY",2020-05-20,1321
"KY",2020-05-27,901
"KY",2020-06-03,1336
"KY",2020-06-10,1469
"KY",2020-06-17,1113
"KY",2020-06-24,1372
"KY",2020-07-01,1480
"KY",2020-07-08,2077
"KY",2020-07-15,2759
"KY",2020-07-22,3863
"KY",2020-07-29,4181
"KY",2020-08-05,4005
"KY",2020-08-12,4218
"KY",2020-08-19,3981
"KY",2020-08-26,4310
"KY",2020-09-02,4753
"KY",2020-09-09,3989
"KY",2020-09-16,4767
"KY",2020-09-23,4767
"KY",2020-09-30,5328
"KY",2020-10-07,7747
"KY",2020-10-14,6425
"KY",2020-10-21,7985
"KY",2020-10-28,10498
"KY",2020-11-04,11507
"KY",2020-11-11,14342
"KY",2020-11-18,17408
"KY",2020-11-25,21387
"KY",2020-12-02,20625
"KY",2020-12-09,22370
"KY",2020-12-16,21519
"KY",2020-12-23,19402
"KY",2020-12-30,14773
"KY",2021-01-06,32221
"KY",2021-01-13,25778
"KY",2021-01-20,21298
"KY",2021-01-27,18395
"KY",2021-02-03,15664
"KY",2021-02-10,12832
"KY",2021-02-17,7679
"KY",2021-02-24,8078
"KY",2021-03-03,5757
"KY",2021-03-10,4758
"KY",2021-03-17,4052
"KY",2021-03-24,3899
"KY",2021-03-31,3670
"KY",2021-04-07,3362
"KY",2021-04-14,4185
"KY",2021-04-21,3680
"KY",2021-04-28,3585
"KY",2021-05-05,3694
"KY",2021-05-12,3058
"KY",2021-05-19,2613
"KY",2021-05-26,2094
"KY",2021-06-02,1458
"KY",2021-06-09,1486
"KY",2021-06-16,1254
"KY",2021-06-23,1081
"KY",2021-06-30,1165
"KY",2021-07-07,1418
"KY",2021-07-14,2826
"KY",2021-07-21,4672
"KY",2021-07-28,7885
"KY",2021-08-04,12258
"KY",2021-08-11,17539
"KY",2021-08-18,23725
"KY",2021-08-25,29569
"KY",2021-09-01,33192
"KY",2021-09-08,30529
"KY",2021-09-15,31240
"KY",2021-09-22,25826
"KY",2021-09-29,19195
"KY",2021-10-06,16244
"KY",2021-10-13,12329
"KY",2021-10-20,8911
"KY",2021-10-27,7686
"KY",2021-11-03,7139
"KY",2021-11-10,8518
"KY",2021-11-17,9650
