"jurisdiction_of_occurrence","mmwryear","mmwrweek","weekendingdate","allcause","naturalcause","septicemia_a40_a41","malignant_neoplasms_c00_c97","diabetes_mellitus_e10_e14","alzheimer_disease_g30","influenza_and_pneumonia_j10","chronic_lower_respiratory","other_diseases_of_respiratory","nephritis_nephrotic_syndrome","symptoms_signs_and_abnormal","diseases_of_heart_i00_i09","cerebrovascular_diseases","flag_otherresp","flag_inflpn","flag_nephr","flag_sept","flag_diab","flag_otherunk","flag_alz","flag_clrd","flag_stroke","flag_hd","flag_neopl"
"Delaware","2016","50","2016-12-17T00:00:00.000","179","159",NA,"43",NA,"11",NA,"10",NA,NA,NA,"33",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"Delaware","2016","51","2016-12-24T00:00:00.000","178","161",NA,"38",NA,"11","0","12",NA,NA,NA,"32","13","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"Delaware","2016","52","2016-12-31T00:00:00.000","185","175",NA,"36",NA,"12",NA,"11",NA,NA,NA,"48","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"Delaware","2017","1","2017-01-07T00:00:00.000","197","183",NA,"34",NA,"10",NA,"14",NA,NA,NA,"42","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"Delaware","2017","2","2017-01-14T00:00:00.000","212","188",NA,"42",NA,"11",NA,"10",NA,NA,"0","41","19","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA,NA
"Delaware","2017","3","2017-01-21T00:00:00.000","206","186",NA,"34",NA,"12",NA,"14",NA,NA,NA,"46","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"Delaware","2017","4","2017-01-28T00:00:00.000","194","183",NA,"45",NA,NA,NA,"11","0",NA,NA,"38","14",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2017","5","2017-02-04T00:00:00.000","191","173",NA,"40",NA,NA,NA,NA,NA,NA,NA,"38","16","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2017","6","2017-02-11T00:00:00.000","195","181",NA,"43",NA,"14",NA,"17",NA,NA,NA,"35","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"Delaware","2017","7","2017-02-18T00:00:00.000","181","168",NA,"50",NA,NA,NA,NA,"0",NA,NA,"45","12",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2017","8","2017-02-25T00:00:00.000","177","161",NA,"38",NA,NA,NA,NA,NA,NA,NA,"48",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2017","9","2017-03-04T00:00:00.000","178","167",NA,"30",NA,NA,NA,"14",NA,NA,NA,"33","12","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2017","10","2017-03-11T00:00:00.000","147","131","0","27",NA,NA,NA,NA,NA,NA,NA,"27",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2017","11","2017-03-18T00:00:00.000","203","191",NA,"51",NA,NA,NA,"16",NA,NA,NA,"43","14","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2017","12","2017-03-25T00:00:00.000","196","182",NA,"48",NA,NA,NA,NA,NA,NA,"0","40","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2017","13","2017-04-01T00:00:00.000","208","188",NA,"50",NA,NA,NA,NA,NA,NA,"0","50",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"Delaware","2017","14","2017-04-08T00:00:00.000","170","160",NA,"41",NA,NA,NA,"20","0",NA,"0","36","12",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2017","15","2017-04-15T00:00:00.000","178","170",NA,"27",NA,NA,NA,"19",NA,NA,NA,"46","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2017","16","2017-04-22T00:00:00.000","203","185",NA,"43",NA,NA,NA,"18",NA,NA,NA,"43","14","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"Delaware","2017","17","2017-04-29T00:00:00.000","167","149",NA,"42",NA,NA,NA,NA,NA,NA,"0","38","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"Delaware","2017","18","2017-05-06T00:00:00.000","161","144",NA,"36",NA,NA,NA,"15",NA,NA,"0","40",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
