"jurisdiction_of_occurrence","mmwryear","mmwrweek","weekendingdate","allcause","naturalcause","septicemia_a40_a41","malignant_neoplasms_c00_c97","diabetes_mellitus_e10_e14","alzheimer_disease_g30","influenza_and_pneumonia_j10","chronic_lower_respiratory","other_diseases_of_respiratory","nephritis_nephrotic_syndrome","symptoms_signs_and_abnormal","diseases_of_heart_i00_i09","cerebrovascular_diseases","flag_otherresp","flag_inflpn","flag_nephr","flag_sept","flag_diab","flag_otherunk","flag_alz","flag_clrd","flag_stroke","flag_hd","flag_neopl"
"New Hampshire","2014","44","2014-11-01T00:00:00.000","206","182",NA,"44",NA,NA,"0","16",NA,NA,NA,"46",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2014","45","2014-11-08T00:00:00.000","216","190","0","37",NA,NA,NA,"13",NA,NA,NA,"65",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Jersey","2014","19","2014-05-10T00:00:00.000","1376","1297","32","319","41","24","24","53","31","33","24","358","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Hampshire","2014","46","2014-11-15T00:00:00.000","240","220","0","61","10","13","0","11",NA,NA,NA,"46",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2014","47","2014-11-22T00:00:00.000","215","198",NA,"59",NA,"10",NA,"15",NA,NA,NA,"37","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2014","48","2014-11-29T00:00:00.000","271","241",NA,"70",NA,"11",NA,"14",NA,NA,NA,"47","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2014","49","2014-12-06T00:00:00.000","216","187",NA,"44",NA,NA,NA,"12",NA,"0",NA,"47",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2014","50","2014-12-13T00:00:00.000","228","210",NA,"61",NA,NA,NA,NA,NA,NA,NA,"43","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"New Hampshire","2014","51","2014-12-20T00:00:00.000","196","179",NA,"46",NA,NA,NA,NA,NA,NA,NA,"46","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"New Hampshire","2014","52","2014-12-27T00:00:00.000","195","171",NA,"39",NA,NA,NA,"17",NA,NA,NA,"40",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2014","53","2015-01-03T00:00:00.000","259","232",NA,"54",NA,"11",NA,"12",NA,NA,NA,"65","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","1","2015-01-10T00:00:00.000","262","245",NA,"52",NA,"10",NA,"15",NA,NA,NA,"47","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","2","2015-01-17T00:00:00.000","241","221",NA,"50",NA,NA,"11","12",NA,NA,NA,"53",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","3","2015-01-24T00:00:00.000","270","248",NA,"47","11","16","12","20",NA,NA,NA,"54","12","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","4","2015-01-31T00:00:00.000","264","248",NA,"50",NA,"11","12","25",NA,NA,NA,"45","11","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","5","2015-02-07T00:00:00.000","285","260",NA,"50",NA,"11","17","14",NA,NA,NA,"62",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","6","2015-02-14T00:00:00.000","287","268",NA,"52",NA,"18","13","15",NA,NA,NA,"49","13","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","7","2015-02-21T00:00:00.000","239","223",NA,"44",NA,"11",NA,"16",NA,NA,NA,"55",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","8","2015-02-28T00:00:00.000","249","227",NA,"54",NA,"11",NA,"13",NA,NA,NA,"53",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","9","2015-03-07T00:00:00.000","220","205",NA,"46",NA,NA,NA,"19",NA,NA,NA,"45",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","10","2015-03-14T00:00:00.000","229","212",NA,"46",NA,NA,NA,"16",NA,NA,NA,"48","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","11","2015-03-21T00:00:00.000","232","206",NA,"65",NA,"11",NA,"15",NA,NA,NA,"41","12","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","12","2015-03-28T00:00:00.000","243","218",NA,"57",NA,NA,NA,"18","0",NA,NA,"53","11",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","13","2015-04-04T00:00:00.000","204","187",NA,"53","11",NA,NA,NA,NA,NA,NA,"41",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","14","2015-04-11T00:00:00.000","237","213",NA,"51",NA,"11",NA,"16",NA,NA,NA,"52","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","15","2015-04-18T00:00:00.000","228","201",NA,"50",NA,"12",NA,"19",NA,NA,NA,"49","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","16","2015-04-25T00:00:00.000","249","231",NA,"55",NA,"13",NA,"13",NA,NA,NA,"59","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","17","2015-05-02T00:00:00.000","211","184","0","55",NA,NA,NA,"15",NA,NA,NA,"46",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","18","2015-05-09T00:00:00.000","249","222",NA,"51","10",NA,NA,"15",NA,NA,NA,"43",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","19","2015-05-16T00:00:00.000","218","197",NA,"47",NA,NA,NA,"21",NA,NA,NA,"51",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","20","2015-05-23T00:00:00.000","191","172",NA,"38",NA,NA,NA,"16",NA,NA,NA,"48",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","21","2015-05-30T00:00:00.000","229","209",NA,"52",NA,NA,NA,"14",NA,NA,NA,"50",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","22","2015-06-06T00:00:00.000","227","210","0","56",NA,NA,NA,"11",NA,NA,NA,"57","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","23","2015-06-13T00:00:00.000","188","172",NA,"48",NA,NA,"0","10",NA,NA,NA,"42",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","24","2015-06-20T00:00:00.000","207","187",NA,"51",NA,NA,NA,"12",NA,NA,NA,"37","12","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","25","2015-06-27T00:00:00.000","231","209","0","59",NA,NA,NA,NA,NA,NA,NA,"47",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","26","2015-07-04T00:00:00.000","205","185",NA,"51",NA,"10",NA,"10",NA,NA,NA,"40",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","27","2015-07-11T00:00:00.000","224","204",NA,"45","15",NA,NA,"14",NA,NA,NA,"42",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","28","2015-07-18T00:00:00.000","232","209",NA,"63",NA,NA,NA,"12",NA,NA,NA,"44",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","29","2015-07-25T00:00:00.000","217","197",NA,"57",NA,NA,NA,"21",NA,NA,NA,"37",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","30","2015-08-01T00:00:00.000","188","170","0","53",NA,NA,NA,NA,NA,NA,NA,"43",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","31","2015-08-08T00:00:00.000","212","193",NA,"66",NA,NA,NA,NA,NA,NA,NA,"52",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","32","2015-08-15T00:00:00.000","202","179",NA,"52",NA,NA,NA,NA,NA,NA,NA,"42",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","33","2015-08-22T00:00:00.000","213","189",NA,"55",NA,NA,NA,"10",NA,NA,NA,"47","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","34","2015-08-29T00:00:00.000","190","173",NA,"45",NA,NA,NA,"14",NA,NA,NA,"38",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","35","2015-09-05T00:00:00.000","208","184",NA,"46",NA,NA,NA,"11",NA,NA,NA,"44","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","36","2015-09-12T00:00:00.000","212","182",NA,"46",NA,"10",NA,"12",NA,NA,NA,"44",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","37","2015-09-19T00:00:00.000","199","180",NA,"51",NA,NA,NA,"10",NA,NA,NA,"39",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","38","2015-09-26T00:00:00.000","228","207",NA,"50",NA,"12",NA,"12",NA,NA,NA,"54","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","39","2015-10-03T00:00:00.000","223","198",NA,"57",NA,NA,NA,"10",NA,NA,"0","51",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","40","2015-10-10T00:00:00.000","221","196",NA,"47",NA,NA,NA,"11",NA,NA,NA,"44","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","41","2015-10-17T00:00:00.000","248","226",NA,"58",NA,NA,NA,"14",NA,NA,"0","58",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","42","2015-10-24T00:00:00.000","213","189",NA,"45",NA,"12",NA,"14",NA,NA,NA,"36","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2015","43","2015-10-31T00:00:00.000","199","180",NA,"48",NA,"10",NA,"20",NA,NA,NA,"43",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","44","2015-11-07T00:00:00.000","252","228",NA,"62",NA,NA,NA,"10",NA,NA,NA,"69","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","45","2015-11-14T00:00:00.000","213","197",NA,"51",NA,NA,NA,"15",NA,NA,NA,"40","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","46","2015-11-21T00:00:00.000","211","186",NA,"52",NA,NA,NA,"15",NA,"0","0","49","12","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA,NA,NA
"New Jersey","2014","20","2014-05-17T00:00:00.000","1287","1205","25","291","36","29","30","58","37","34","14","322","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Hampshire","2015","47","2015-11-28T00:00:00.000","213","190",NA,"43",NA,NA,NA,NA,NA,NA,"0","65",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","48","2015-12-05T00:00:00.000","213","190",NA,"43",NA,"11",NA,"12",NA,NA,NA,"47",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","49","2015-12-12T00:00:00.000","216","200","0","48",NA,"17",NA,"12",NA,NA,NA,"57",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","50","2015-12-19T00:00:00.000","189","177","0","42",NA,"11",NA,"19",NA,NA,"0","52",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2015","51","2015-12-26T00:00:00.000","207","194",NA,"31",NA,NA,NA,"14",NA,NA,NA,"59","12","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2015","52","2016-01-02T00:00:00.000","230","202",NA,"39",NA,NA,NA,"15",NA,NA,NA,"59","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2016","1","2016-01-09T00:00:00.000","251","231",NA,"57",NA,"10",NA,"13",NA,"0",NA,"60","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2016","2","2016-01-16T00:00:00.000","222","200",NA,"56",NA,"14",NA,"15","0",NA,NA,"47",NA,NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","3","2016-01-23T00:00:00.000","239","210",NA,"56",NA,NA,NA,NA,NA,NA,NA,"42","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA
"New Hampshire","2016","4","2016-01-30T00:00:00.000","226","214",NA,"42",NA,NA,NA,"14",NA,NA,NA,"54","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2016","5","2016-02-06T00:00:00.000","235","209","0","62","13","10",NA,"14",NA,NA,NA,"41",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","6","2016-02-13T00:00:00.000","253","235",NA,"59",NA,NA,NA,"12",NA,NA,NA,"61","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2016","7","2016-02-20T00:00:00.000","245","216",NA,"73",NA,NA,NA,"10",NA,NA,NA,"48",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","8","2016-02-27T00:00:00.000","237","220",NA,"48",NA,"12",NA,"11",NA,NA,NA,"53","11","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA,NA
"New Hampshire","2016","9","2016-03-05T00:00:00.000","229","198",NA,"62",NA,NA,NA,"10",NA,NA,NA,"45",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","10","2016-03-12T00:00:00.000","229","204",NA,"41",NA,"18",NA,"16",NA,NA,NA,"57",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","11","2016-03-19T00:00:00.000","204","191",NA,"48",NA,NA,NA,"19",NA,NA,NA,"53",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","12","2016-03-26T00:00:00.000","248","223",NA,"58",NA,"14",NA,"16","0",NA,NA,"51",NA,NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","13","2016-04-02T00:00:00.000","228","209",NA,"53",NA,NA,NA,"15",NA,NA,NA,"51",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","14","2016-04-09T00:00:00.000","249","228",NA,"61",NA,NA,NA,"16",NA,NA,NA,"55","13","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
"New Hampshire","2016","15","2016-04-16T00:00:00.000","234","213",NA,"58",NA,"10",NA,"13",NA,NA,NA,"48",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,"Suppressed (counts 1-9)",NA,NA
"New Hampshire","2016","16","2016-04-23T00:00:00.000","240","223",NA,"54","11",NA,NA,"14",NA,NA,NA,"55","10","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,"Suppressed (counts 1-9)","Suppressed (counts 1-9)",NA,NA,NA,NA
